"seed","mt_time","mef_time","mt_fe","mef_fe"
1,0.0830000000000837,16964.477,0.981187435881508,0.708235014905435
2,0.0820000000021537,18192.481,0.996630589428764,0.74437021490571
3,0.080999999998312,10119.866,0.987832850099839,0.674227292629915
4,0.065999999998894,17755.707,0.979827956120449,0.670155020036743
5,0.0689999999958673,12487.68,0.994340674496384,0.754576119985635
6,0.0709999999962747,13752.045,0.995305536167783,0.540727229031225
7,0.088000000003376,16621.925,0.993928428358299,0.731513754680406
8,0.077000000004773,15944.306,0.990540084016021,0.638922803871902
9,0.0789999999979045,7595.049,0.99039128831794,0.739426585849971
10,0.0670000000100117,16278.198,0.991499029294546,0.510294492473298
