"seed","mt_time","mef_time","mt_miscl","mef_miscl","mt_fe","mef_fe","config"
1,0.154999999999745,2005.02,0,0.533333333333333,0.988017273372,0.893513252646969,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
2,0.109999999999673,717.054,0,0.533333333333333,0.965618119870137,0.904515751834823,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
3,0.108000000000175,2173.731,0,0.4,0.972642675082419,0.720979231903295,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
4,0.104999999999563,620.797999999999,0,0.6,0.968144504567794,0.789843586817436,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
5,0.105999999999767,2845.116,0,0.466666666666667,0.965069001870467,0.630449889140769,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
6,0.118000000000393,5276.473,0,0.533333333333333,0.980493555531684,0.53078311584351,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
7,0.10200000000259,5999.789,0,0.466666666666667,0.966236513534027,0.647619218411191,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
8,0.113000000001193,1218.4,0,0.4,0.962745919965608,0.573851506829895,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
9,0.110999999997148,3127.624,0,0.466666666666667,0.96924987766313,0.695341581517073,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
10,0.116000000001804,3366.906,0,0.4,0.970502829230607,0.892559578863887,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
11,0.120000000002619,3505.026,0,0.333333333333333,0.983302753540541,0.80292739902176,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
12,0.0910000000003492,614.595000000001,0,0.6,0.97022502088387,0.563708577660161,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
13,0.0970000000015716,2886.423,0,0.466666666666667,0.959488159360133,0.831665095644909,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
14,0.0939999999973224,799.135999999999,0,0.333333333333333,0.973856361406752,0.848572338393621,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
15,0.10399999999936,3821.419,0,0.4,0.979703404853907,0.878373389350383,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
16,0.104000000006636,2172.098,0,0.4,0.971334809187062,0.597570945666924,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
17,0.104999999995925,2927.933,0,0.466666666666667,0.985312266806757,0.785797381274919,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
18,0.0939999999973224,4564.892,0,0.6,0.982067329344612,0.824589977505079,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
19,0.108000000000175,2811.172,0,0.533333333333333,0.974766057637816,0.686029611848666,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
20,0.110000000000582,3927.663,0,0.333333333333333,0.977315198536117,0.651485319883984,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
21,0.10899999999674,1099.739,0,0.6,0.975255449377864,0.610402537543612,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
22,0.115000000005239,2083.963,0,0.6,0.97493231061162,0.785714565332972,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
