"subject","sex","mt_PC1","mt_PC2","mt_PC3","mef_F1","mef_F2","mef_F3"
"ZJBOZ2X",0,0.181556608855615,0.468472912835272,-0.140783592743009,8.94069671630859e-09,5.68479299545288e-07,1.66893005371094e-07
"ZJXC41N",0,-0.0828452710080506,0.076776044833887,0.0599640434715884,1.19209289550781e-07,1.1444091796875e-06,2.44379043579102e-07
"ZK112BX",0,-0.313950332828085,-0.0921078709219921,-0.0122833973835086,-3.54647636413574e-07,-6.11692667007446e-07,2.38418579101563e-08
"ZK4CK8Y",0,-0.127331972126752,0.428931458604223,0.108908334306897,3.45706939697266e-07,-6.28456473350525e-07,-4.4703483581543e-08
"ZKFV71L",0,-0.207597359666145,0.199699506852134,-0.310667219664969,2.02655792236328e-07,5.0663948059082e-07,-4.29153442382813e-07
"ZL63I8R",1,0.0206629430828398,-0.152945071016043,0.132721922042899,3.21865081787109e-07,1.26659870147705e-08,-2.02655792236328e-07
"ZL9BTWF",1,0.179339805312074,-0.132328388386324,-0.0289595573149009,-1.31130218505859e-07,-8.34465026855469e-08,2.32458114624023e-07
"ZLTUJTN",1,-0.21267359387051,-0.226834829970782,0.0173994019963258,4.23192977905273e-07,8.64267349243164e-08,-1.46031379699707e-07
"ZLZNCLZ",1,0.181121707737775,-0.178703938253515,0.322378062522845,4.17232513427734e-07,6.09457492828369e-07,3.03983688354492e-07
"ZLZQMEV",0,-0.0137872157175437,-0.151516393092268,-0.146797838648003,1.66893005371094e-07,3.1590461730957e-07,4.76837158203125e-08
"ZM7JY3G",1,0.234497301090268,-0.272990333096092,-0.0706739916065722,-2.5629997253418e-07,-9.05990600585937e-07,4.67896461486816e-07
"ZMBVNFM",1,0.286924928736786,-0.146864927069036,-0.146883514104735,2.68220901489258e-07,3.59117984771729e-07,2.8759241104126e-07
"ZN3TBJM",0,-0.298430546083558,-0.00103904336179756,0.0455537388870203,3.60608100891113e-07,-4.58955764770508e-07,4.85777854919434e-07
"ZN9YTFN",0,-0.387294684009157,-0.00681962254798758,-0.0106036022623779,3.09944152832031e-07,9.5367431640625e-08,5.0663948059082e-08
"ZOBX723",1,-0.00473887331209282,0.24521243105644,0.339922915922208,8.00192356109619e-07,2.86102294921875e-07,1.61305069923401e-07
"ZPDABJR",1,0.00240627626578706,0.171674122259167,-0.0801209398414569,6.10947608947754e-07,2.02655792236328e-07,2.98023223876953e-08
"ZPEL6L3",0,0.0902540710247711,0.0159436249215226,-0.00991999164674476,-2.89082527160645e-07,2.26497650146484e-07,-1.54972076416016e-07
"ZPF36E2",1,-0.0446283674572443,-0.0955903880910091,-0.190641534616308,2.38418579101563e-08,8.34465026855469e-08,-4.64916229248047e-07
"ZRB0F6P",0,-0.0352541314623126,-0.0661411967636865,-0.0023129475130685,3.57627868652344e-08,-9.5367431640625e-08,2.78651714324951e-07
"ZS78KHV",1,0.0822595008877759,0.00482748120576107,-0.174113544502311,6.85453414916992e-07,2.14576721191406e-07,-6.93649053573608e-07
"ZTJ7L7Z",1,-0.218616285192606,-0.217425933617847,0.000741018628353407,3.1888484954834e-07,-3.69176268577576e-07,-6.19888305664063e-07
"ZTL5S2Y",1,-0.031201099781051,0.107740210265939,0.0078508150165366,-2.26497650146484e-07,3.27825546264648e-07,-3.57627868652344e-07
"ZTXWLP3",1,0.0579961350118221,-0.0566960487067486,-0.0640265612663084,4.76837158203125e-07,-3.93390655517578e-07,-6.55651092529297e-08
"ZUPAQVU",1,0.251010138030219,-0.00732885130049325,0.0273896587930963,-5.48362731933594e-07,-3.11434268951416e-07,9.83476638793945e-08
"ZVBQY1N",1,0.0959463779020752,-0.185194711917503,0.0988056653044489,5.08478842675686e-07,-4.84287738800049e-07,4.4703483581543e-09
"ZVM4N7A",0,-0.166657076624067,-0.098164374996377,-0.277081197153709,3.48687171936035e-07,-6.35534524917603e-07,4.82797622680664e-07
"ZVNCGHM",1,0.247207933825744,0.0476082041372672,0.113482480457912,-1.49011611938477e-09,8.15093517303467e-07,5.7518482208252e-07
"ZW61YGW",1,0.226102949881226,-0.000874015068114757,0.0530738468093376,2.45869159698486e-07,-1.2516975402832e-06,3.70293855667114e-07
"ZWCZHHY",1,0.0956894773560367,0.293430614293165,-0.0627467485763535,8.16583633422852e-07,-2.05636024475098e-07,-4.41074371337891e-07
"ZY7IW45",0,-0.142474746891111,0.0135882079397218,0.5996954874625,3.58372926712036e-07,-4.29153442382813e-07,3.55392694473267e-07
"ZYHHR4Z",0,0.0559426509356391,0.0295785107745251,-0.188737076607793,4.00375574827194e-07,-1.66893005371094e-07,-8.92207026481628e-07
